# SIMULATED DATA: region-level coordinates only, PLACEHOLDER counts and turnovers. Not MOZAIQ data.
villa_id,region,zone,lat,lon,weekly_turnovers,in_current
V001,Seoul-Gahoe,mainland,37.59261,127.01728,4,1
V002,Seoul-Gahoe,mainland,37.56062,126.96951,5,1
V003,Seoul-Gahoe,mainland,37.61248,126.94592,3,1
V004,Seoul-Gahoe,mainland,37.60637,126.98293,5,1
V005,Seoul-Gahoe,mainland,37.56684,126.96777,4,0
V006,Seoul-Gahoe,mainland,37.57821,126.98586,3,0
V007,Seoul-Gahoe,mainland,37.58688,127.02514,5,0
V008,Seoul-Gahoe,mainland,37.59237,127.02462,5,0
V009,Seoul-Gahoe,mainland,37.55982,126.95832,5,0
V010,Gapyeong,mainland,37.79502,127.47235,4,1
V011,Gapyeong,mainland,37.83269,127.5068,5,1
V012,Gapyeong,mainland,37.84184,127.51063,5,1
V013,Gapyeong,mainland,37.83125,127.4893,5,1
V014,Gapyeong,mainland,37.80689,127.52486,2,1
V015,Gapyeong,mainland,37.80755,127.49906,3,0
V016,Gapyeong,mainland,37.8579,127.48186,2,0
V017,Gapyeong,mainland,37.81291,127.53993,2,0
V018,Cheongpyeong,mainland,37.76677,127.43218,4,1
V019,Cheongpyeong,mainland,37.75834,127.38832,2,1
V020,Cheongpyeong,mainland,37.73962,127.45071,4,1
V021,Cheongpyeong,mainland,37.7279,127.42885,2,1
V022,Cheongpyeong,mainland,37.73001,127.40684,2,0
V023,Cheongpyeong,mainland,37.71102,127.44631,3,0
V024,Hongcheon,mainland,37.7353,127.8958,3,1
V025,Hongcheon,mainland,37.7054,127.89964,4,1
V026,Hongcheon,mainland,37.66906,127.88383,4,1
V027,Hongcheon,mainland,37.67617,127.8808,5,1
V028,Hongcheon,mainland,37.73443,127.8658,2,1
V029,Hongcheon,mainland,37.71074,127.87263,3,0
V030,Hongcheon,mainland,37.70998,127.85913,5,0
V031,Hongcheon,mainland,37.72461,127.9242,4,0
V032,Yangyang,mainland,38.08098,128.59064,5,1
V033,Yangyang,mainland,38.0508,128.65323,2,1
V034,Yangyang,mainland,38.04984,128.64972,4,1
V035,Yangyang,mainland,38.08673,128.62458,2,1
V036,Yangyang,mainland,38.06828,128.59816,3,0
V037,Yangyang,mainland,38.03844,128.6491,4,0
V038,Yangpyeong,mainland,37.49531,127.47327,3,1
V039,Yangpyeong,mainland,37.51161,127.44952,4,1
V040,Yangpyeong,mainland,37.45393,127.45733,3,0
V041,Yangpyeong,mainland,37.52887,127.50012,4,0
V042,Yangpyeong,mainland,37.4934,127.51732,3,0
V043,Chuncheon,mainland,37.86884,127.73702,3,1
V044,Chuncheon,mainland,37.86973,127.73133,4,1
V045,Chuncheon,mainland,37.90252,127.76253,5,0
V046,Chuncheon,mainland,37.91597,127.69021,2,0
V047,Chuncheon,mainland,37.90154,127.75464,4,0
V048,Gangneung,mainland,37.74541,128.90132,2,1
V049,Gangneung,mainland,37.71304,128.88638,3,0
V050,Gangneung,mainland,37.75294,128.89417,5,0
V051,Gangneung,mainland,37.73001,128.85198,5,0
V052,Gangneung,mainland,37.72625,128.86378,3,0
V053,Jeju-City,jeju,33.53545,126.53707,5,1
V054,Jeju-City,jeju,33.48132,126.56736,3,1
V055,Jeju-City,jeju,33.49516,126.56963,2,0
V056,Jeju-City,jeju,33.50129,126.56292,4,0
V057,Jeju-City,jeju,33.51902,126.53765,5,0
V058,Jeju-City,jeju,33.52986,126.52413,3,0
V059,Jeju-City,jeju,33.53342,126.4967,2,0
V060,Jeju-City,jeju,33.50116,126.56728,3,0
V061,Jeju-City,jeju,33.47968,126.55568,4,0
V062,Jeju-City,jeju,33.51697,126.54157,4,0
V063,Seogwipo,jeju,33.29182,126.54671,4,1
V064,Seogwipo,jeju,33.23033,126.52416,3,0
V065,Seogwipo,jeju,33.23113,126.59334,5,0
V066,Seogwipo,jeju,33.22309,126.5684,5,0
V067,Seogwipo,jeju,33.25244,126.56767,3,0
V068,Seogwipo,jeju,33.23863,126.59701,4,0
V069,Busan,mainland,35.16037,129.17415,3,0
V070,Busan,mainland,35.13781,129.12885,4,0
V071,Busan,mainland,35.15602,129.18502,4,0
V072,Busan,mainland,35.1815,129.13296,5,0
V073,Busan,mainland,35.19617,129.18806,4,0
V074,Busan,mainland,35.16496,129.19715,5,0
V075,Busan,mainland,35.12683,129.12632,3,0
V076,Busan,mainland,35.14332,129.14379,2,0
V077,Busan,mainland,35.1381,129.16926,2,0
V078,Busan,mainland,35.17033,129.13718,2,0
V079,Busan,mainland,35.17733,129.12559,3,0
V080,Busan,mainland,35.19817,129.16697,3,0
