seed,method,cost,gap_pct,runtime_s,n_open,same_hubs_as_exact,capacity_violated,open_hubs
0,roulette,1689000.0,0.0,0.12039113399805501,0,True,False,
1,roulette,1689000.0,0.0,0.06039950798731297,0,True,False,
2,roulette,1689000.0,0.0,0.0577678459812887,0,True,False,
3,roulette,1689000.0,0.0,0.0658084430033341,0,True,False,
4,roulette,1689000.0,0.0,0.06632612197427079,0,True,False,
5,roulette,1689000.0,0.0,0.06332970003131777,0,True,False,
6,roulette,1689000.0,0.0,0.06810515298275277,0,True,False,
7,roulette,1689000.0,0.0,0.08975376398302615,0,True,False,
8,roulette,1689000.0,0.0,0.2399950790568255,0,True,False,
9,roulette,1689000.0,0.0,0.10538485395954922,0,True,False,
10,roulette,1689000.0,0.0,0.1279625230235979,0,True,False,
11,roulette,1689000.0,0.0,0.09997023601317778,0,True,False,
12,roulette,1689000.0,0.0,0.0916418939596042,0,True,False,
13,roulette,1689000.0,0.0,0.07659669598797336,0,True,False,
14,roulette,1689000.0,0.0,0.06810121901798993,0,True,False,
15,roulette,1689000.0,0.0,0.06827522203093395,0,True,False,
16,roulette,1689000.0,0.0,0.06706880702404305,0,True,False,
17,roulette,1689000.0,0.0,0.0662601999938488,0,True,False,
18,roulette,1689000.0,0.0,0.06063059298321605,0,True,False,
19,roulette,1689000.0,0.0,0.06618430599337444,0,True,False,
0,tournament,1689000.0,0.0,0.06568676303140819,0,True,False,
1,tournament,1689000.0,0.0,0.07363283704034984,0,True,False,
2,tournament,1689000.0,0.0,0.06271190702682361,0,True,False,
3,tournament,1689000.0,0.0,0.06491073599318042,0,True,False,
4,tournament,1689000.0,0.0,0.060665908036753535,0,True,False,
5,tournament,1689000.0,0.0,0.08757867699023336,0,True,False,
6,tournament,1689000.0,0.0,0.0676434759516269,0,True,False,
7,tournament,1689000.0,0.0,0.07045323302736506,0,True,False,
8,tournament,1689000.0,0.0,0.07603919896064326,0,True,False,
9,tournament,1689000.0,0.0,0.18069828301668167,0,True,False,
10,tournament,1689000.0,0.0,0.11350263596978039,0,True,False,
11,tournament,1689000.0,0.0,0.12688261095900089,0,True,False,
12,tournament,1689000.0,0.0,0.100893012015149,0,True,False,
13,tournament,1689000.0,0.0,0.09112755197566003,0,True,False,
14,tournament,1689000.0,0.0,0.07447755802422762,0,True,False,
15,tournament,1689000.0,0.0,0.07082365202950314,0,True,False,
16,tournament,1689000.0,0.0,0.06303999398369342,0,True,False,
17,tournament,1689000.0,0.0,0.06577834096970037,0,True,False,
18,tournament,1689000.0,0.0,0.07346437301021069,0,True,False,
19,tournament,1689000.0,0.0,0.0644468679674901,0,True,False,
