seed,method,cost,gap_pct,runtime_s,n_open,same_hubs_as_exact,capacity_violated,open_hubs
0,roulette,4374878.792653847,0.0,0.3118052899953909,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
1,roulette,4467919.355653847,2.126700359,0.262403829023242,5,False,False,Namyangju;Chuncheon;Yangyang;Busan;Jeju City
2,roulette,4374878.792653847,0.0,0.29590799898141995,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
3,roulette,4374878.792653847,0.0,0.35066378995543346,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
4,roulette,4374878.792653847,0.0,0.2186625209869817,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
5,roulette,4374878.792653847,0.0,0.1877691760309972,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
6,roulette,4449787.841653846,1.712254271,0.17734789999667555,5,False,False,Namyangju;Hongcheon;Sokcho;Busan;Jeju City
7,roulette,4455649.670653846,1.846242646,0.5165038160048425,5,False,False,Namyangju;Hongcheon;Gangneung;Busan;Jeju City
8,roulette,4374878.792653847,0.0,0.19888622703729197,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
9,roulette,4519217.755961539,3.299267709,0.17658422200474888,4,False,False,Chuncheon;Yangyang;Busan;Jeju City
10,roulette,4467919.355653847,2.126700359,0.18915049900533631,5,False,False,Namyangju;Chuncheon;Yangyang;Busan;Jeju City
11,roulette,4374878.792653847,0.0,0.17459767701802775,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
12,roulette,4455649.670653846,1.846242646,0.1804447370232083,5,False,False,Namyangju;Hongcheon;Gangneung;Busan;Jeju City
13,roulette,4374878.792653847,0.0,0.19593677402008325,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
14,roulette,4467919.355653847,2.126700359,0.31218495895154774,5,False,False,Namyangju;Chuncheon;Yangyang;Busan;Jeju City
15,roulette,4449787.841653846,1.712254271,0.29673094797180966,5,False,False,Namyangju;Hongcheon;Sokcho;Busan;Jeju City
16,roulette,4374878.792653847,0.0,0.16211973695317283,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
17,roulette,4555816.978153846,4.135844536,0.16309451695997268,5,False,False,Namyangju;Hongcheon;Sokcho;Busan;Seogwipo
18,roulette,4480907.929153846,2.423590264,0.15979309799149632,5,False,False,Namyangju;Hongcheon;Yangyang;Busan;Seogwipo
19,roulette,4374878.792653847,0.0,0.16066657699411735,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
0,tournament,4374878.792653847,0.0,0.16335114801768214,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
1,tournament,4374878.792653847,0.0,0.27953186101512983,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
2,tournament,4374878.792653847,0.0,0.2635868919896893,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
3,tournament,4374878.792653847,0.0,0.1752141559845768,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
4,tournament,4374878.792653847,0.0,0.16068513900972903,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
5,tournament,4374878.792653847,0.0,0.15470305900089443,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
6,tournament,4374878.792653847,0.0,0.1528251509880647,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
7,tournament,4374878.792653847,0.0,0.16408026200952008,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
8,tournament,4374878.792653847,0.0,0.17289609304862097,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
9,tournament,4374878.792653847,0.0,0.16856916499091312,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
10,tournament,4374878.792653847,0.0,0.14351984398672357,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
11,tournament,4374878.792653847,0.0,0.14100736298132688,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
12,tournament,4374878.792653847,0.0,0.1453093620366417,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
13,tournament,4374878.792653847,0.0,0.1400657869526185,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
14,tournament,4374878.792653847,0.0,0.1500611219671555,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
15,tournament,4374878.792653847,0.0,0.14436451601795852,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
16,tournament,4374878.792653847,0.0,0.14389840001240373,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
17,tournament,4374878.792653847,0.0,0.15210545796435326,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
18,tournament,4374878.792653847,0.0,0.13816091301850975,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
19,tournament,4374878.792653847,0.0,0.14986916800262406,5,True,False,Namyangju;Hongcheon;Yangyang;Busan;Jeju City
